Date,Population,Region
2020-08-14,101,north west
2020-08-14,68,north central
2020-08-14,65,north east
2020-08-14,245,saskatoon
2020-08-14,160,central west
2020-08-14,30,central east
2020-08-14,131,regina
2020-08-14,201,south west
2020-08-14,176,south central
2020-08-14,11,south east
2020-08-14,1541,total
2020-08-15,346,far north west
2020-08-15,0,far north central
2020-08-15,6,far north east
2020-08-15,118,north west
2020-08-15,68,north central
2020-08-15,65,north east
2020-08-15,247,saskatoon
2020-08-15,160,central west
2020-08-15,30,central east
2020-08-15,131,regina
2020-08-15,201,south west
2020-08-15,182,south central
2020-08-15,11,south east
2020-08-15,1566,total
2020-08-16,346,far north west
2020-08-16,0,far north central
2020-08-16,6,far north east
2020-08-16,119,north west
2020-08-16,68,north central
2020-08-16,65,north east
2020-08-16,247,saskatoon
2020-08-16,161,central west
2020-08-16,33,central east
2020-08-16,131,regina
2020-08-16,206,south west
2020-08-16,187,south central
2020-08-16,11,south east
2020-08-16,1580,total
2020-08-17,346,far north west
2020-08-17,0,far north central
2020-08-17,6,far north east
2020-08-17,119,north west
2020-08-17,68,north central
2020-08-17,65,north east
2020-08-17,247,saskatoon
2020-08-17,161,central west
2020-08-17,33,central east
2020-08-17,131,regina
2020-08-17,207,south west
2020-08-17,187,south central
2020-08-17,11,south east
2020-08-17,1581,total
2020-08-18,346,far north west
2020-08-18,0,far north central
2020-08-18,6,far north east
2020-08-18,119,north west
2020-08-18,68,north central
2020-08-18,65,north east
2020-08-18,248,saskatoon
2020-08-18,161,central west
2020-08-18,33,central east
2020-08-18,131,regina
2020-08-18,207,south west
2020-08-18,187,south central
2020-08-18,11,south east
2020-08-18,1582,total
2020-08-19,346,far north west
2020-08-19,0,far north central
2020-08-19,6,far north east
2020-08-19,121,north west
2020-08-19,68,north central
2020-08-19,65,north east
2020-08-19,248,saskatoon
2020-08-19,161,central west
2020-08-19,33,central east
2020-08-19,131,regina
2020-08-19,209,south west
2020-08-19,187,south central
2020-08-19,11,south east
2020-08-19,1586,total
2020-08-20,346,far north west
2020-08-20,0,far north central
2020-08-20,6,far north east
2020-08-20,121,north west
2020-08-20,68,north central
2020-08-20,65,north east
2020-08-20,249,saskatoon
2020-08-20,161,central west
2020-08-20,33,central east
2020-08-20,131,regina
2020-08-20,209,south west
2020-08-20,190,south central
2020-08-20,11,south east
2020-08-20,1590,total
2020-08-21,346,far north west
2020-08-21,0,far north central
2020-08-21,6,far north east
2020-08-21,123,north west
2020-08-21,68,north central
2020-08-21,66,north east
2020-08-21,250,saskatoon
2020-08-21,161,central west
2020-08-21,33,central east
2020-08-21,131,regina
2020-08-21,211,south west
2020-08-21,189,south central
2020-08-21,11,south east
2020-08-21,1595,total
2020-08-22,346,far north west
2020-08-22,0,far north central
2020-08-22,6,far north east
2020-08-22,123,north west
2020-08-22,68,north central
2020-08-22,66,north east
2020-08-22,251,saskatoon
2020-08-22,161,central west
2020-08-22,33,central east
2020-08-22,131,regina
2020-08-22,212,south west
2020-08-22,189,south central
2020-08-22,11,south east
2020-08-22,1597,total
2020-08-23,346,far north west
2020-08-23,0,far north central
2020-08-23,6,far north east
2020-08-23,123,north west
2020-08-23,69,north central
2020-08-23,66,north east
2020-08-23,251,saskatoon
2020-08-23,161,central west
2020-08-23,33,central east
2020-08-23,132,regina
2020-08-23,213,south west
2020-08-23,189,south central
2020-08-23,11,south east
2020-08-23,1600,total
2020-08-24,346,far north west
2020-08-24,0,far north central
2020-08-24,6,far north east
2020-08-24,126,north west
2020-08-24,68,north central
2020-08-24,66,north east
2020-08-24,251,saskatoon
2020-08-24,161,central west
2020-08-24,33,central east
2020-08-24,132,regina
2020-08-24,213,south west
2020-08-24,189,south central
2020-08-24,11,south east
2020-08-24,1602,total
2020-08-25,346,far north west
2020-08-25,0,far north central
2020-08-25,6,far north east
2020-08-25,125,north west
2020-08-25,68,north central
2020-08-25,66,north east
2020-08-25,251,saskatoon
2020-08-25,161,central west
2020-08-25,33,central east
2020-08-25,132,regina
2020-08-25,213,south west
2020-08-25,189,south central
2020-08-25,11,south east
2020-08-25,1601,total
2020-08-26,346,far north west
2020-08-26,0,far north central
2020-08-26,6,far north east
2020-08-26,125,north west
2020-08-26,68,north central
2020-08-26,66,north east
2020-08-26,254,saskatoon
2020-08-26,161,central west
2020-08-26,33,central east
2020-08-26,132,regina
2020-08-26,213,south west
2020-08-26,189,south central
2020-08-26,11,south east
2020-08-26,1604,total
2020-08-27,346,far north west
2020-08-27,0,far north central
2020-08-27,6,far north east
2020-08-27,128,north west
2020-08-27,68,north central
2020-08-27,66,north east
2020-08-27,256,saskatoon
2020-08-27,161,central west
2020-08-27,33,central east
2020-08-27,132,regina
2020-08-27,213,south west
2020-08-27,189,south central
2020-08-27,11,south east
2020-08-27,1609,total
2020-08-28,347,far north west
2020-08-28,0,far north central
2020-08-28,6,far north east
2020-08-28,128,north west
2020-08-28,68,north central
2020-08-28,66,north east
2020-08-28,257,saskatoon
2020-08-28,161,central west
2020-08-28,33,central east
2020-08-28,132,regina
2020-08-28,213,south west
2020-08-28,189,south central
2020-08-28,11,south east
2020-08-28,1611,total
2020-08-29,347,far north west
2020-08-29,0,far north central
2020-08-29,6,far north east
2020-08-29,128,north west
2020-08-29,68,north central
2020-08-29,66,north east
2020-08-29,259,saskatoon
2020-08-29,161,central west
2020-08-29,33,central east
2020-08-29,132,regina
2020-08-29,215,south west
2020-08-29,189,south central
2020-08-29,11,south east
2020-08-29,1615,total
2020-08-30,347,far north west
2020-08-30,0,far north central
2020-08-30,6,far north east
2020-08-30,128,north west
2020-08-30,68,north central
2020-08-30,66,north east
2020-08-30,259,saskatoon
2020-08-30,161,central west
2020-08-30,33,central east
2020-08-30,132,regina
2020-08-30,215,south west
2020-08-30,189,south central
2020-08-30,11,south east
2020-08-30,1615,total
2020-08-31,347,far north west
2020-08-31,0,far north central
2020-08-31,6,far north east
2020-08-31,128,north west
2020-08-31,68,north central
2020-08-31,66,north east
2020-08-31,260,saskatoon
2020-08-31,161,central west
2020-08-31,34,central east
2020-08-31,132,regina
2020-08-31,216,south west
2020-08-31,190,south central
2020-08-31,11,south east
2020-08-31,1619,total
2020-09-01,347,far north west
2020-09-01,0,far north central
2020-09-01,6,far north east
2020-09-01,128,north west
2020-09-01,69,north central
2020-09-01,66,north east
2020-09-01,261,saskatoon
2020-09-01,161,central west
2020-09-01,34,central east
2020-09-01,132,regina
2020-09-01,216,south west
2020-09-01,190,south central
2020-09-01,11,south east
2020-09-01,1622,total
2020-09-02,347,far north west
2020-09-02,0,far north central
2020-09-02,6,far north east
2020-09-02,130,north west
2020-09-02,69,north central
2020-09-02,66,north east
2020-09-02,261,saskatoon
2020-09-02,161,central west
2020-09-02,34,central east
2020-09-02,132,regina
2020-09-02,216,south west
2020-09-02,191,south central
2020-09-02,11,south east
2020-09-02,1624,total
2020-09-03,347,far north west
2020-09-03,0,far north central
2020-09-03,6,far north east
2020-09-03,130,north west
2020-09-03,70,north central
2020-09-03,66,north east
2020-09-03,267,saskatoon
2020-09-03,163,central west
2020-09-03,34,central east
2020-09-03,132,regina
2020-09-03,216,south west
2020-09-03,192,south central
2020-09-03,11,south east
2020-09-03,1634,total
2020-09-04,347,far north west
2020-09-04,0,far north central
2020-09-04,6,far north east
2020-09-04,130,north west
2020-09-04,71,north central
2020-09-04,66,north east
2020-09-04,267,saskatoon
2020-09-04,164,central west
2020-09-04,34,central east
2020-09-04,132,regina
2020-09-04,217,south west
2020-09-04,193,south central
2020-09-04,11,south east
2020-09-04,1638,total
2020-09-05,347,far north west
2020-09-05,0,far north central
2020-09-05,6,far north east
2020-09-05,130,north west
2020-09-05,71,north central
2020-09-05,66,north east
2020-09-05,270,saskatoon
2020-09-05,164,central west
2020-09-05,34,central east
2020-09-05,132,regina
2020-09-05,217,south west
2020-09-05,195,south central
2020-09-05,11,south east
2020-09-05,1643,total
2020-09-06,347,far north west
2020-09-06,0,far north central
2020-09-06,6,far north east
2020-09-06,131,north west
2020-09-06,71,north central
2020-09-06,66,north east
2020-09-06,273,saskatoon
2020-09-06,164,central west
2020-09-06,36,central east
2020-09-06,133,regina
2020-09-06,217,south west
2020-09-06,195,south central
2020-09-06,12,south east
2020-09-06,1651,total
2020-09-07,349,far north west
2020-09-07,0,far north central
2020-09-07,6,far north east
2020-09-07,131,north west
2020-09-07,71,north central
2020-09-07,66,north east
2020-09-07,275,saskatoon
2020-09-07,166,central west
2020-09-07,37,central east
2020-09-07,133,regina
2020-09-07,218,south west
2020-09-07,196,south central
2020-09-07,13,south east
2020-09-07,1662,total
2020-09-08,349,far north west
2020-09-08,0,far north central
2020-09-08,6,far north east
2020-09-08,131,north west
2020-09-08,73,north central
2020-09-08,66,north east
2020-09-08,276,saskatoon
2020-09-08,166,central west
2020-09-08,37,central east
2020-09-08,136,regina
2020-09-08,218,south west
2020-09-08,197,south central
2020-09-08,13,south east
2020-09-08,1669,total
2020-09-09,349,far north west
2020-09-09,0,far north central
2020-09-09,6,far north east
2020-09-09,131,north west
2020-09-09,73,north central
2020-09-09,66,north east
2020-09-09,277,saskatoon
2020-09-09,166,central west
2020-09-09,37,central east
2020-09-09,137,regina
2020-09-09,218,south west
2020-09-09,197,south central
2020-09-09,13,south east
2020-09-09,1670,total
2020-09-10,349,far north west
2020-09-10,0,far north central
2020-09-10,7,far north east
2020-09-10,131,north west
2020-09-10,73,north central
2020-09-10,66,north east
2020-09-10,278,saskatoon
2020-09-10,167,central west
2020-09-10,38,central east
2020-09-10,138,regina
2020-09-10,218,south west
2020-09-10,197,south central
2020-09-10,13,south east
2020-09-10,1676,total
2020-09-11,349,far north west
2020-09-11,0,far north central
2020-09-11,8,far north east
2020-09-11,131,north west
2020-09-11,73,north central
2020-09-11,66,north east
2020-09-11,282,saskatoon
2020-09-11,167,central west
2020-09-11,45,central east
2020-09-11,139,regina
2020-09-11,218,south west
2020-09-11,197,south central
2020-09-11,13,south east
2020-09-11,1688,total
2020-09-12,349,far north west
2020-09-12,0,far north central
2020-09-12,8,far north east
2020-09-12,131,north west
2020-09-12,73,north central
2020-09-12,66,north east
2020-09-12,287,saskatoon
2020-09-12,167,central west
2020-09-12,59,central east
2020-09-12,139,regina
2020-09-12,220,south west
2020-09-12,197,south central
2020-09-12,13,south east
2020-09-12,1709,total
2020-09-13,349,far north west
2020-09-13,0,far north central
2020-09-13,8,far north east
2020-09-13,131,north west
2020-09-13,73,north central
2020-09-13,66,north east
2020-09-13,301,saskatoon
2020-09-13,168,central west
2020-09-13,60,central east
2020-09-13,139,regina
2020-09-13,220,south west
2020-09-13,197,south central
2020-09-13,13,south east
2020-09-13,1726,total
2020-09-14,349,far north west
2020-09-14,0,far north central
2020-09-14,8,far north east
2020-09-14,131,north west
2020-09-14,73,north central
2020-09-14,66,north east
2020-09-14,307,saskatoon
2020-09-14,168,central west
2020-09-14,59,central east
2020-09-14,139,regina
2020-09-14,221,south west
2020-09-14,197,south central
2020-09-14,13,south east
2020-09-14,1731,total
2020-09-15,349,far north west
2020-09-15,0,far north central
2020-09-15,8,far north east
2020-09-15,131,north west
2020-09-15,73,north central
2020-09-15,66,north east
2020-09-15,315,saskatoon
2020-09-15,168,central west
2020-09-15,61,central east
2020-09-15,139,regina
2020-09-15,221,south west
2020-09-15,197,south central
2020-09-15,13,south east
2020-09-15,1741,total
2020-09-16,349,far north west
2020-09-16,0,far north central
2020-09-16,8,far north east
2020-09-16,131,north west
2020-09-16,73,north central
2020-09-16,67,north east
2020-09-16,322,saskatoon
2020-09-16,168,central west
2020-09-16,61,central east
2020-09-16,140,regina
2020-09-16,221,south west
2020-09-16,197,south central
2020-09-16,13,south east
2020-09-16,1751,total
2020-09-17,349,far north west
2020-09-17,0,far north central
2020-09-17,8,far north east
2020-09-17,131,north west
2020-09-17,73,north central
2020-09-17,67,north east
2020-09-17,326,saskatoon
2020-09-17,168,central west
2020-09-17,61,central east
2020-09-17,140,regina
2020-09-17,222,south west
2020-09-17,197,south central
2020-09-17,15,south east
2020-09-17,1757,total
2020-09-18,349,far north west
2020-09-18,0,far north central
2020-09-18,8,far north east
2020-09-18,131,north west
2020-09-18,73,north central
2020-09-18,67,north east
2020-09-18,338,saskatoon
2020-09-18,171,central west
2020-09-18,61,central east
2020-09-18,144,regina
2020-09-18,222,south west
2020-09-18,197,south central
2020-09-18,15,south east
2020-09-18,1776,total
2020-09-19,349,far north west
2020-09-19,0,far north central
2020-09-19,8,far north east
2020-09-19,131,north west
2020-09-19,73,north central
2020-09-19,67,north east
2020-09-19,340,saskatoon
2020-09-19,172,central west
2020-09-19,62,central east
2020-09-19,149,regina
2020-09-19,222,south west
2020-09-19,199,south central
2020-09-19,15,south east
2020-09-19,1787,total
2020-09-20,349,far north west
2020-09-20,0,far north central
2020-09-20,8,far north east
2020-09-20,131,north west
2020-09-20,73,north central
2020-09-20,67,north east
2020-09-20,347,saskatoon
2020-09-20,172,central west
2020-09-20,62,central east
2020-09-20,159,regina
2020-09-20,222,south west
2020-09-20,199,south central
2020-09-20,17,south east
2020-09-20,1807,total
2020-09-21,349,far north west
2020-09-21,0,far north central
2020-09-21,8,far north east
2020-09-21,131,north west
2020-09-21,73,north central
2020-09-21,67,north east
2020-09-21,353,saskatoon
2020-09-21,172,central west
2020-09-21,62,central east
2020-09-21,160,regina
2020-09-21,222,south west
2020-09-21,199,south central
2020-09-21,18,south east
2020-09-21,1814,total
2020-09-22,349,far north west
2020-09-22,0,far north central
2020-09-22,9,far north east
2020-09-22,131,north west
2020-09-22,73,north central
2020-09-22,67,north east
2020-09-22,359,saskatoon
2020-09-22,173,central west
2020-09-22,62,central east
2020-09-22,162,regina
2020-09-22,222,south west
2020-09-22,199,south central
2020-09-22,18,south east
2020-09-22,1824,total
2020-09-23,349,far north west
2020-09-23,0,far north central
2020-09-23,9,far north east
2020-09-23,131,north west
2020-09-23,73,north central
2020-09-23,67,north east
2020-09-23,361,saskatoon
2020-09-23,174,central west
2020-09-23,62,central east
2020-09-23,165,regina
2020-09-23,222,south west
2020-09-23,199,south central
2020-09-23,18,south east
2020-09-23,1830,total
2020-09-24,349,far north west
2020-09-24,0,far north central
2020-09-24,9,far north east
2020-09-24,131,north west
2020-09-24,73,north central
2020-09-24,67,north east
2020-09-24,363,saskatoon
2020-09-24,175,central west
2020-09-24,62,central east
2020-09-24,166,regina
2020-09-24,222,south west
2020-09-24,200,south central
2020-09-24,18,south east
2020-09-24,1835,total
2020-09-25,349,far north west
2020-09-25,0,far north central
2020-09-25,9,far north east
2020-09-25,132,north west
2020-09-25,76,north central
2020-09-25,67,north east
2020-09-25,366,saskatoon
2020-09-25,175,central west
2020-09-25,63,central east
2020-09-25,167,regina
2020-09-25,222,south west
2020-09-25,200,south central
2020-09-25,19,south east
2020-09-25,1846,total
2020-09-26,349,far north west
2020-09-26,0,far north central
2020-09-26,9,far north east
2020-09-26,132,north west
2020-09-26,76,north central
2020-09-26,67,north east
2020-09-26,381,saskatoon
2020-09-26,175,central west
2020-09-26,65,central east
2020-09-26,168,regina
2020-09-26,222,south west
2020-09-26,200,south central
2020-09-26,19,south east
2020-09-26,1863,total
2020-09-27,349,far north west
2020-09-27,0,far north central
2020-09-27,9,far north east
2020-09-27,132,north west
2020-09-27,77,north central
2020-09-27,67,north east
2020-09-27,382,saskatoon
2020-09-27,175,central west
2020-09-27,73,central east
2020-09-27,172,regina
2020-09-27,222,south west
2020-09-27,200,south central
2020-09-27,19,south east
2020-09-27,1878,total
2020-09-28,350,far north west
2020-09-28,0,far north central
2020-09-28,9,far north east
2020-09-28,132,north west
2020-09-28,77,north central
2020-09-28,67,north east
2020-09-28,385,saskatoon
2020-09-28,175,central west
2020-09-28,80,central east
2020-09-28,176,regina
2020-09-28,222,south west
2020-09-28,200,south central
2020-09-28,19,south east
2020-09-28,1892,total
2020-09-29,350,far north west
2020-09-29,0,far north central
2020-09-29,9,far north east
2020-09-29,132,north west
2020-09-29,77,north central
2020-09-29,67,north east
2020-09-29,385,saskatoon
2020-09-29,175,central west
2020-09-29,81,central east
2020-09-29,182,regina
2020-09-29,222,south west
2020-09-29,200,south central
2020-09-29,19,south east
2020-09-29,1899,total
2020-09-30,350,far north west
2020-09-30,0,far north central
2020-09-30,9,far north east
2020-09-30,132,north west
2020-09-30,77,north central
2020-09-30,68,north east
2020-09-30,393,saskatoon
2020-09-30,176,central west
2020-09-30,83,central east
2020-09-30,184,regina
2020-09-30,222,south west
2020-09-30,200,south central
2020-09-30,19,south east
2020-09-30,1913,total
2020-10-01,350,far north west
2020-10-01,0,far north central
2020-10-01,9,far north east
2020-10-01,132,north west
2020-10-01,79,north central
2020-10-01,68,north east
2020-10-01,393,saskatoon
2020-10-01,176,central west
2020-10-01,88,central east
2020-10-01,188,regina
2020-10-01,224,south west
2020-10-01,201,south central
2020-10-01,19,south east
2020-10-01,1927,total
2020-10-02,350,far north west
2020-10-02,0,far north central
2020-10-02,9,far north east
2020-10-02,132,north west
2020-10-02,80,north central
2020-10-02,69,north east
2020-10-02,399,saskatoon
2020-10-02,176,central west
2020-10-02,92,central east
2020-10-02,188,regina
2020-10-02,224,south west
2020-10-02,202,south central
2020-10-02,19,south east
2020-10-02,1940,total
2020-10-03,350,far north west
2020-10-03,0,far north central
2020-10-03,9,far north east
2020-10-03,132,north west
2020-10-03,80,north central
2020-10-03,69,north east
2020-10-03,402,saskatoon
2020-10-03,176,central west
2020-10-03,96,central east
2020-10-03,190,regina
2020-10-03,225,south west
2020-10-03,204,south central
2020-10-03,21,south east
2020-10-03,1954,total
2020-10-04,350,far north west
2020-10-04,0,far north central
2020-10-04,9,far north east
2020-10-04,132,north west
2020-10-04,80,north central
2020-10-04,69,north east
2020-10-04,403,saskatoon
2020-10-04,176,central west
2020-10-04,97,central east
2020-10-04,191,regina
2020-10-04,225,south west
2020-10-04,204,south central
2020-10-04,23,south east
2020-10-04,1959,total
2020-10-05,350,far north west
2020-10-05,0,far north central
2020-10-05,9,far north east
2020-10-05,132,north west
2020-10-05,80,north central
2020-10-05,69,north east
2020-10-05,404,saskatoon
2020-10-05,176,central west
2020-10-05,102,central east
2020-10-05,192,regina
2020-10-05,225,south west
2020-10-05,205,south central
2020-10-05,24,south east
2020-10-05,1968,total
2020-10-06,351,far north west
2020-10-06,0,far north central
2020-10-06,9,far north east
2020-10-06,132,north west
2020-10-06,81,north central
2020-10-06,69,north east
2020-10-06,410,saskatoon
2020-10-06,176,central west
2020-10-06,105,central east
2020-10-06,194,regina
2020-10-06,225,south west
2020-10-06,205,south central
2020-10-06,26,south east
2020-10-06,1984,total
2020-10-07,351,far north west
2020-10-07,0,far north central
2020-10-07,9,far north east
2020-10-07,132,north west
2020-10-07,81,north central
2020-10-07,69,north east
2020-10-07,414,saskatoon
2020-10-07,177,central west
2020-10-07,107,central east
2020-10-07,197,regina
2020-10-07,225,south west
2020-10-07,205,south central
2020-10-07,27,south east
2020-10-07,1994,total
2020-10-08,354,far north west
2020-10-08,0,far north central
2020-10-08,11,far north east
2020-10-08,133,north west
2020-10-08,83,north central
2020-10-08,69,north east
2020-10-08,420,saskatoon
2020-10-08,177,central west
2020-10-08,109,central east
2020-10-08,198,regina
2020-10-08,225,south west
2020-10-08,205,south central
2020-10-08,28,south east
2020-10-08,2012,total
2020-10-09,354,far north west
2020-10-09,0,far north central
2020-10-09,13,far north east
2020-10-09,133,north west
2020-10-09,87,north central
2020-10-09,69,north east
2020-10-09,425,saskatoon
2020-10-09,180,central west
2020-10-09,113,central east
2020-10-09,200,regina
2020-10-09,225,south west
2020-10-09,207,south central
2020-10-09,28,south east
2020-10-09,2034,total
2020-10-10,354,far north west
2020-10-10,0,far north central
2020-10-10,17,far north east
2020-10-10,134,north west
2020-10-10,94,north central
2020-10-10,70,north east
2020-10-10,428,saskatoon
2020-10-10,182,central west
2020-10-10,124,central east
2020-10-10,203,regina
2020-10-10,225,south west
2020-10-10,207,south central
2020-10-10,30,south east
2020-10-10,2068,total
2020-10-11,355,far north west
2020-10-11,0,far north central
2020-10-11,19,far north east
2020-10-11,137,north west
2020-10-11,99,north central
2020-10-11,70,north east
2020-10-11,429,saskatoon
2020-10-11,182,central west
2020-10-11,124,central east
2020-10-11,214,regina
2020-10-11,225,south west
2020-10-11,207,south central
2020-10-11,31,south east
2020-10-11,2092,total
2020-10-12,356,far north west
2020-10-12,0,far north central
2020-10-12,19,far north east
2020-10-12,140,north west
2020-10-12,118,north central
2020-10-12,71,north east
2020-10-12,442,saskatoon
2020-10-12,183,central west
2020-10-12,127,central east
2020-10-12,219,regina
2020-10-12,226,south west
2020-10-12,207,south central
2020-10-12,32,south east
2020-10-12,2140,total
2020-10-13,356,far north west
2020-10-13,0,far north central
2020-10-13,19,far north east
2020-10-13,140,north west
2020-10-13,127,north central
2020-10-13,71,north east
2020-10-13,450,saskatoon
2020-10-13,187,central west
2020-10-13,127,central east
2020-10-13,230,regina
2020-10-13,226,south west
2020-10-13,207,south central
2020-10-13,32,south east
2020-10-13,2174,total
2020-10-14,356,far north west
2020-10-14,0,far north central
2020-10-14,23,far north east
2020-10-14,140,north west
2020-10-14,132,north central
2020-10-14,78,north east
2020-10-14,454,saskatoon
2020-10-14,187,central west
2020-10-14,128,central east
2020-10-14,234,regina
2020-10-14,226,south west
2020-10-14,207,south central
2020-10-14,33,south east
2020-10-14,2199,total
2020-10-15,359,far north west
2020-10-15,0,far north central
2020-10-15,25,far north east
2020-10-15,140,north west
2020-10-15,134,north central
2020-10-15,80,north east
2020-10-15,462,saskatoon
2020-10-15,187,central west
2020-10-15,136,central east
2020-10-15,241,regina
2020-10-15,226,south west
2020-10-15,208,south central
2020-10-15,33,south east
2020-10-15,2232,total
2020-10-16,365,far north west
2020-10-16,0,far north central
2020-10-16,32,far north east
2020-10-16,141,north west
2020-10-16,142,north central
2020-10-16,80,north east
2020-10-16,469,saskatoon
2020-10-16,188,central west
2020-10-16,137,central east
2020-10-16,248,regina
2020-10-16,226,south west
2020-10-16,209,south central
2020-10-16,33,south east
2020-10-16,2270,total
2020-10-17,365,far north west
2020-10-17,0,far north central
2020-10-17,38,far north east
2020-10-17,144,north west
2020-10-17,148,north central
2020-10-17,83,north east
2020-10-17,479,saskatoon
2020-10-17,189,central west
2020-10-17,138,central east
2020-10-17,252,regina
2020-10-17,226,south west
2020-10-17,209,south central
2020-10-17,34,south east
2020-10-17,2306,total
2020-10-18,366,far north west
2020-10-18,0,far north central
2020-10-18,38,far north east
2020-10-18,145,north west
2020-10-18,156,north central
2020-10-18,83,north east
2020-10-18,480,saskatoon
2020-10-18,191,central west
2020-10-18,141,central east
2020-10-18,258,regina
2020-10-18,226,south west
2020-10-18,209,south central
2020-10-18,35,south east
2020-10-18,2330,total
2020-10-19,369,far north west
2020-10-19,0,far north central
2020-10-19,41,far north east
2020-10-19,149,north west
2020-10-19,173,north central
2020-10-19,84,north east
2020-10-19,505,saskatoon
2020-10-19,193,central west
2020-10-19,143,central east
2020-10-19,266,regina
2020-10-19,227,south west
2020-10-19,209,south central
2020-10-19,35,south east
2020-10-19,2396,total
2020-10-20,371,far north west
2020-10-20,0,far north central
2020-10-20,43,far north east
2020-10-20,153,north west
2020-10-20,177,north central
2020-10-20,91,north east
2020-10-20,525,saskatoon
2020-10-20,193,central west
2020-10-20,145,central east
2020-10-20,269,regina
2020-10-20,227,south west
2020-10-20,210,south central
2020-10-20,35,south east
2020-10-20,2439,total
2020-10-21,371,far north west
2020-10-21,0,far north central
2020-10-21,44,far north east
2020-10-21,154,north west
2020-10-21,194,north central
2020-10-21,95,north east
2020-10-21,539,saskatoon
2020-10-21,195,central west
2020-10-21,152,central east
2020-10-21,280,regina
2020-10-21,227,south west
2020-10-21,210,south central
2020-10-21,35,south east
2020-10-21,2496,total
2020-10-22,374,far north west
2020-10-22,0,far north central
2020-10-22,50,far north east
2020-10-22,159,north west
2020-10-22,207,north central
2020-10-22,98,north east
2020-10-22,559,saskatoon
2020-10-22,196,central west
2020-10-22,153,central east
2020-10-22,284,regina
2020-10-22,228,south west
2020-10-22,211,south central
2020-10-22,37,south east
2020-10-22,2558,total
2020-10-23,375,far north west
2020-10-23,0,far north central
2020-10-23,50,far north east
2020-10-23,162,north west
